age,duration,amount,savings,employment,credit_history,purpose,housing,existing_credits,target
37,48,1468,none,>7yr,existing_paid,education,rent,2,0
18,24,10008,quite_rich,>7yr,existing_paid,car,own,1,1
25,60,9735,moderate,1-4yr,critical,business,rent,2,0
63,36,781,quite_rich,>7yr,existing_paid,business,rent,2,1
33,6,11536,none,4-7yr,critical,furniture,own,1,0
31,60,6762,none,4-7yr,existing_paid,repairs,own,2,0
29,6,1558,little,1-4yr,critical,furniture,rent,2,0
68,36,4793,little,1-4yr,delayed,furniture,rent,4,0
40,48,11224,little,1-4yr,critical,repairs,free,2,0
32,60,12520,little,1-4yr,existing_paid,other,own,1,0
45,18,5678,none,>7yr,existing_paid,car,own,1,1
51,18,7480,little,<1yr,critical,business,own,3,0
19,18,13972,quite_rich,>7yr,existing_paid,furniture,rent,3,1
49,48,9700,little,1-4yr,existing_paid,repairs,rent,1,0
40,48,1729,none,1-4yr,existing_paid,education,own,1,0
39,36,9727,little,4-7yr,existing_paid,furniture,rent,2,0
68,6,5085,none,>7yr,existing_paid,business,own,1,0
42,36,8967,rich,1-4yr,existing_paid,car,rent,1,0
39,36,3240,none,1-4yr,existing_paid,furniture,own,1,0
39,48,2789,moderate,1-4yr,critical,furniture,own,1,1
66,18,1739,rich,unemployed,delayed,other,own,2,1
69,12,5870,quite_rich,1-4yr,critical,repairs,own,2,1
59,6,625,moderate,1-4yr,critical,education,own,1,1
23,48,12757,quite_rich,1-4yr,existing_paid,education,free,1,0
32,18,13004,rich,4-7yr,paid,car,free,1,1
71,60,7973,moderate,1-4yr,paid,business,rent,2,1
60,12,12560,moderate,1-4yr,existing_paid,car,own,1,1
54,12,9900,moderate,1-4yr,critical,furniture,own,2,1
50,48,5842,moderate,4-7yr,existing_paid,furniture,own,2,1
25,24,7851,moderate,>7yr,existing_paid,education,rent,1,0
70,6,7138,little,1-4yr,existing_paid,business,own,1,1
61,12,7070,little,4-7yr,existing_paid,repairs,rent,1,1
61,48,3749,none,1-4yr,delayed,business,rent,2,0
22,48,9610,none,1-4yr,existing_paid,furniture,own,3,0
56,18,8095,little,1-4yr,critical,repairs,own,1,0
21,60,14105,none,1-4yr,existing_paid,business,own,4,0
23,24,12615,moderate,4-7yr,existing_paid,business,own,1,1
62,6,6794,little,>7yr,critical,repairs,rent,3,0
49,36,7027,quite_rich,<1yr,paid,furniture,rent,2,1
69,60,6257,none,4-7yr,critical,business,own,2,0
47,60,13095,little,4-7yr,critical,repairs,free,2,0
64,18,14147,moderate,<1yr,delayed,other,rent,2,0
52,12,2469,moderate,1-4yr,critical,other,free,3,0
72,12,11485,none,1-4yr,existing_paid,furniture,own,3,0
57,18,1391,quite_rich,<1yr,critical,repairs,own,2,1
69,48,4970,quite_rich,1-4yr,existing_paid,other,own,1,1
33,12,7675,little,1-4yr,critical,repairs,rent,1,0
30,24,10725,little,1-4yr,critical,business,own,3,0
67,6,10056,rich,4-7yr,critical,furniture,own,2,1
59,60,8820,moderate,4-7yr,critical,other,rent,2,0
47,60,9706,moderate,>7yr,existing_paid,business,free,2,0
36,24,10491,quite_rich,1-4yr,critical,car,rent,3,1
34,12,7312,little,4-7yr,delayed,car,own,2,0
73,60,8019,little,>7yr,critical,furniture,own,3,0
36,36,14169,little,4-7yr,delayed,other,rent,3,0
45,6,5112,quite_rich,1-4yr,existing_paid,other,own,1,1
72,6,10210,moderate,4-7yr,existing_paid,other,own,1,1
43,60,12873,moderate,1-4yr,existing_paid,repairs,own,3,1
54,18,1698,little,1-4yr,critical,business,own,1,1
43,60,12565,little,1-4yr,existing_paid,other,own,4,0
70,18,5738,little,4-7yr,existing_paid,business,rent,1,1
40,60,11166,moderate,unemployed,existing_paid,furniture,rent,1,0
26,36,6589,moderate,>7yr,critical,other,rent,4,0
29,48,12177,none,4-7yr,existing_paid,furniture,own,2,0
70,6,6757,quite_rich,1-4yr,paid,other,own,1,1
18,60,12741,none,>7yr,existing_paid,car,own,3,0
18,36,8205,rich,1-4yr,paid,education,rent,2,0
64,18,4219,none,>7yr,existing_paid,furniture,own,2,1
51,18,802,moderate,1-4yr,existing_paid,other,free,1,1
49,6,12644,none,<1yr,existing_paid,education,rent,3,0
71,24,13375,rich,4-7yr,critical,furniture,own,3,0
65,60,1486,little,4-7yr,critical,repairs,own,1,1
42,12,10555,none,4-7yr,existing_paid,other,rent,3,1
57,18,4940,little,>7yr,critical,repairs,rent,3,0
62,48,5409,none,4-7yr,no_credits,car,own,2,0
70,48,14775,none,4-7yr,existing_paid,other,own,2,1
18,18,3572,rich,>7yr,existing_paid,car,rent,1,1
33,24,14098,little,4-7yr,existing_paid,education,own,1,1
56,24,14787,quite_rich,1-4yr,existing_paid,furniture,own,2,1
22,36,14465,moderate,>7yr,existing_paid,business,own,3,0
39,48,3624,moderate,1-4yr,existing_paid,car,own,2,1
46,36,10019,none,4-7yr,critical,business,own,2,0
72,48,13880,little,>7yr,existing_paid,business,own,1,1
20,60,11100,quite_rich,4-7yr,existing_paid,furniture,own,1,0
29,60,12365,rich,4-7yr,existing_paid,education,own,2,1
43,12,8625,little,4-7yr,existing_paid,furniture,rent,1,1
33,60,3791,little,1-4yr,existing_paid,other,rent,2,0
68,12,4533,little,>7yr,existing_paid,car,rent,1,1
54,60,5605,rich,1-4yr,critical,business,free,3,0
39,6,1203,little,<1yr,existing_paid,furniture,own,1,1
74,60,8633,little,1-4yr,existing_paid,furniture,own,2,0
46,36,1074,quite_rich,1-4yr,delayed,furniture,rent,2,0
31,18,6204,none,1-4yr,no_credits,car,own,1,0
45,36,11924,none,>7yr,existing_paid,education,own,1,0
22,18,8348,moderate,1-4yr,delayed,furniture,rent,1,0
64,24,5708,rich,1-4yr,existing_paid,car,own,3,0
66,36,13475,little,unemployed,paid,business,own,1,0
47,24,7424,little,1-4yr,existing_paid,other,rent,2,0
63,12,11324,little,4-7yr,existing_paid,repairs,rent,4,1
69,12,4328,little,unemployed,existing_paid,car,own,3,1
22,6,3730,moderate,1-4yr,existing_paid,repairs,rent,1,1
29,60,988,little,1-4yr,existing_paid,furniture,rent,4,0
33,36,7614,little,unemployed,existing_paid,furniture,rent,1,0
43,24,10039,little,1-4yr,delayed,car,own,2,0
43,18,12373,moderate,<1yr,existing_paid,repairs,own,3,1
65,12,3673,moderate,4-7yr,existing_paid,furniture,free,2,1
38,60,13281,quite_rich,>7yr,existing_paid,business,rent,2,1
56,12,2167,none,1-4yr,critical,education,free,1,0
53,18,10329,quite_rich,>7yr,existing_paid,education,own,1,1
50,60,4614,quite_rich,1-4yr,critical,furniture,own,2,0
47,60,4053,little,1-4yr,existing_paid,repairs,rent,1,0
54,24,8261,little,>7yr,existing_paid,other,own,4,1
40,24,1500,little,1-4yr,existing_paid,furniture,own,4,1
27,36,9542,little,>7yr,existing_paid,other,own,3,0
71,36,1888,little,unemployed,existing_paid,other,own,2,1
22,48,5950,none,1-4yr,existing_paid,repairs,rent,2,0
53,48,4212,little,<1yr,existing_paid,other,rent,4,0
51,6,1867,quite_rich,4-7yr,existing_paid,business,own,3,1
69,12,8689,little,4-7yr,critical,repairs,own,2,1
48,36,9513,quite_rich,4-7yr,critical,furniture,rent,1,0
27,24,954,moderate,1-4yr,existing_paid,business,own,1,1
36,18,10316,quite_rich,1-4yr,existing_paid,car,own,2,1
49,24,3272,moderate,unemployed,existing_paid,education,rent,2,0
18,12,4226,none,1-4yr,delayed,furniture,own,3,0
73,48,7732,moderate,>7yr,existing_paid,furniture,rent,1,1
22,24,11839,none,1-4yr,critical,furniture,own,1,0
62,6,12781,little,>7yr,existing_paid,business,free,1,1
21,12,5306,rich,>7yr,existing_paid,car,own,1,1
33,48,2690,none,1-4yr,existing_paid,repairs,rent,1,0
41,18,9608,little,4-7yr,critical,car,own,2,0
33,48,12678,moderate,<1yr,existing_paid,business,own,2,1
72,60,3375,quite_rich,<1yr,existing_paid,furniture,rent,2,0
19,6,6092,moderate,unemployed,critical,education,own,1,1
66,12,1940,little,4-7yr,no_credits,furniture,own,1,1
45,18,13092,moderate,1-4yr,critical,repairs,own,2,1
49,6,9427,little,1-4yr,existing_paid,other,rent,3,0
44,48,12260,moderate,1-4yr,critical,education,own,1,0
37,6,6559,rich,1-4yr,existing_paid,furniture,own,3,1
41,12,14937,moderate,4-7yr,existing_paid,education,free,1,1
29,36,14797,quite_rich,4-7yr,critical,other,own,3,0
67,6,12030,none,unemployed,no_credits,car,rent,3,0
52,60,7510,moderate,1-4yr,existing_paid,business,rent,1,0
50,6,11707,quite_rich,4-7yr,existing_paid,furniture,rent,2,1
50,48,7617,none,1-4yr,existing_paid,repairs,rent,1,0
68,48,11581,quite_rich,4-7yr,existing_paid,car,rent,3,1
60,18,9653,little,1-4yr,no_credits,furniture,own,2,0
54,48,3489,moderate,1-4yr,existing_paid,car,rent,2,1
29,24,12540,quite_rich,<1yr,existing_paid,repairs,own,2,0
20,12,9718,moderate,1-4yr,existing_paid,furniture,own,3,1
18,12,6728,none,4-7yr,existing_paid,other,rent,1,1
50,36,12557,moderate,1-4yr,critical,other,own,2,0
57,36,6971,moderate,4-7yr,critical,repairs,rent,1,0
27,12,3363,rich,>7yr,critical,education,own,1,0
60,60,14261,little,1-4yr,existing_paid,repairs,free,2,0
61,36,11193,little,4-7yr,existing_paid,education,own,1,1
46,18,10639,moderate,1-4yr,existing_paid,furniture,free,1,1
30,48,1677,little,1-4yr,existing_paid,education,rent,3,0
29,12,5260,moderate,4-7yr,existing_paid,furniture,free,1,1
48,36,511,moderate,1-4yr,paid,furniture,own,2,1
63,12,5752,quite_rich,4-7yr,existing_paid,business,own,1,1
19,24,4899,moderate,<1yr,critical,furniture,own,1,0
68,6,12056,moderate,4-7yr,existing_paid,education,free,1,1
67,48,11714,none,>7yr,existing_paid,business,rent,2,0
52,12,12063,none,>7yr,no_credits,business,own,2,1
40,6,14551,none,4-7yr,existing_paid,furniture,rent,1,1
34,36,11522,none,4-7yr,critical,repairs,rent,1,0
43,6,8734,moderate,4-7yr,existing_paid,repairs,own,4,1
25,48,9635,moderate,4-7yr,existing_paid,other,rent,1,1
46,12,11082,moderate,<1yr,no_credits,business,rent,3,0
43,24,5945,quite_rich,1-4yr,existing_paid,furniture,own,1,0
27,60,11237,rich,1-4yr,no_credits,repairs,own,2,0
43,36,11103,quite_rich,>7yr,critical,furniture,own,1,1
51,12,13678,moderate,1-4yr,critical,furniture,rent,3,0
68,48,7070,moderate,1-4yr,critical,business,rent,2,0
58,36,9696,little,1-4yr,existing_paid,other,rent,2,0
24,18,8712,none,4-7yr,critical,business,own,1,0
21,6,906,little,4-7yr,existing_paid,car,own,2,1
70,60,9706,rich,1-4yr,existing_paid,repairs,own,2,0
67,48,4931,quite_rich,1-4yr,delayed,repairs,own,1,0
62,18,10530,little,>7yr,no_credits,repairs,free,1,0
28,12,11880,little,1-4yr,existing_paid,education,rent,3,0
46,24,5743,quite_rich,1-4yr,critical,furniture,rent,1,0
73,36,7042,none,4-7yr,existing_paid,business,rent,2,0
53,6,7436,little,>7yr,existing_paid,repairs,own,2,1
42,36,14615,quite_rich,<1yr,existing_paid,car,own,3,1
38,60,9406,little,4-7yr,critical,repairs,own,4,0
74,12,4646,none,>7yr,critical,other,rent,4,1
53,36,12546,moderate,1-4yr,critical,furniture,rent,1,0
27,6,13111,quite_rich,>7yr,existing_paid,furniture,own,3,1
54,12,13576,moderate,4-7yr,existing_paid,business,own,1,1
26,36,640,little,4-7yr,existing_paid,education,own,2,1
41,24,13257,little,4-7yr,no_credits,business,own,2,0
52,48,5382,little,<1yr,no_credits,repairs,own,1,0
66,12,14613,moderate,1-4yr,existing_paid,other,own,4,1
52,48,14145,quite_rich,1-4yr,existing_paid,car,own,1,1
65,12,6512,none,1-4yr,critical,business,rent,2,0
53,24,1463,quite_rich,1-4yr,existing_paid,education,free,3,1
35,48,7651,none,>7yr,existing_paid,business,own,3,0
66,18,9064,little,>7yr,existing_paid,furniture,own,1,1
56,6,12327,none,4-7yr,critical,repairs,own,2,1
49,18,11233,little,>7yr,critical,repairs,own,3,0
41,36,4110,moderate,4-7yr,critical,repairs,own,1,1
40,24,10384,moderate,1-4yr,critical,repairs,own,2,0
49,18,7394,none,1-4yr,existing_paid,repairs,free,1,0
54,12,13967,moderate,1-4yr,existing_paid,repairs,rent,2,1
29,36,14459,none,4-7yr,existing_paid,car,own,3,0
66,36,7811,quite_rich,1-4yr,existing_paid,education,rent,2,0
72,18,605,rich,4-7yr,existing_paid,repairs,own,2,1
30,18,6039,little,<1yr,existing_paid,education,own,2,0
40,24,10373,moderate,4-7yr,critical,other,free,2,0
42,6,12789,little,>7yr,critical,repairs,free,1,0
52,18,12708,none,4-7yr,critical,business,rent,1,0
58,60,11328,little,>7yr,critical,repairs,rent,2,0
47,18,7287,quite_rich,>7yr,delayed,furniture,rent,2,0
34,48,2637,moderate,>7yr,existing_paid,car,rent,2,1
66,12,12108,none,>7yr,paid,business,free,1,0
37,60,4945,quite_rich,>7yr,delayed,business,own,1,1
65,60,4030,moderate,4-7yr,critical,furniture,free,1,0
42,48,1786,quite_rich,unemployed,paid,repairs,rent,4,0
39,48,11871,moderate,1-4yr,critical,car,rent,2,0
30,36,13850,moderate,4-7yr,existing_paid,business,own,1,0
36,6,7552,none,1-4yr,existing_paid,car,rent,1,0
66,12,14994,none,1-4yr,delayed,business,own,4,0
53,24,4154,rich,>7yr,existing_paid,repairs,own,1,1
29,60,7602,little,>7yr,paid,other,own,3,0
58,24,2859,rich,>7yr,existing_paid,business,rent,1,1
36,18,8605,moderate,1-4yr,critical,other,rent,4,0
29,18,9136,none,unemployed,existing_paid,business,own,3,1
26,24,6941,none,<1yr,delayed,education,own,2,0
24,18,5547,little,1-4yr,existing_paid,repairs,own,1,0
45,6,8727,rich,unemployed,no_credits,furniture,rent,1,1
31,48,5703,little,unemployed,critical,other,own,2,0
48,18,10167,little,>7yr,paid,furniture,own,2,1
69,36,12649,little,4-7yr,critical,repairs,own,1,0
36,18,2298,none,1-4yr,existing_paid,furniture,own,1,1
64,12,10537,little,<1yr,critical,repairs,own,2,0
33,6,10100,none,1-4yr,existing_paid,furniture,rent,2,0
70,12,5791,quite_rich,unemployed,existing_paid,other,own,1,1
22,12,5995,little,>7yr,existing_paid,education,rent,1,0
52,36,10400,little,1-4yr,paid,furniture,own,4,0
29,6,14173,little,1-4yr,existing_paid,other,own,2,0
42,6,11630,little,1-4yr,existing_paid,business,own,3,0
69,6,6784,rich,<1yr,existing_paid,repairs,rent,2,1
38,6,7785,moderate,4-7yr,existing_paid,car,rent,1,1
53,6,1800,none,4-7yr,existing_paid,car,rent,1,1
70,36,7369,moderate,4-7yr,critical,repairs,free,1,1
40,18,9935,none,<1yr,existing_paid,education,own,3,1
33,12,12668,none,4-7yr,delayed,furniture,rent,2,1
74,6,3597,rich,4-7yr,delayed,education,rent,1,1
56,60,5116,quite_rich,>7yr,critical,car,own,4,1
62,18,14594,rich,1-4yr,existing_paid,other,rent,1,0
70,18,509,little,1-4yr,delayed,repairs,own,4,1
59,12,13771,moderate,4-7yr,critical,repairs,own,4,1
56,36,11117,none,4-7yr,critical,education,own,1,0
31,24,6252,little,1-4yr,existing_paid,other,own,1,0
48,24,10352,quite_rich,1-4yr,delayed,education,own,2,0
22,18,11323,little,1-4yr,critical,furniture,own,2,0
52,48,6795,quite_rich,>7yr,existing_paid,business,own,2,1
40,48,5315,moderate,1-4yr,no_credits,other,own,4,0
46,12,1572,none,>7yr,existing_paid,business,free,2,1
60,24,3725,moderate,1-4yr,critical,furniture,rent,1,1
28,18,13646,moderate,>7yr,existing_paid,business,own,1,1
35,36,1816,little,>7yr,critical,car,own,2,0
64,24,6199,quite_rich,1-4yr,existing_paid,business,own,1,0
29,18,12837,moderate,>7yr,existing_paid,furniture,rent,3,1
26,18,7307,none,<1yr,paid,business,own,1,0
27,6,7174,moderate,>7yr,existing_paid,repairs,own,1,1
61,36,4183,rich,4-7yr,critical,education,own,1,1
34,6,7727,none,<1yr,critical,car,rent,2,0
55,12,3773,quite_rich,4-7yr,delayed,repairs,own,1,0
24,6,7500,little,>7yr,existing_paid,repairs,own,3,1
63,60,645,quite_rich,<1yr,delayed,furniture,own,2,0
30,6,5510,moderate,4-7yr,existing_paid,education,own,3,1
57,60,3540,little,4-7yr,existing_paid,education,rent,2,1
59,24,10154,little,>7yr,paid,other,rent,1,0
26,48,13368,quite_rich,1-4yr,delayed,car,free,3,0
67,18,10276,little,1-4yr,critical,furniture,rent,1,0
44,60,982,moderate,unemployed,critical,car,own,2,1
19,36,3679,none,4-7yr,no_credits,other,free,1,0
22,6,1749,quite_rich,1-4yr,critical,business,rent,3,0
46,60,13460,moderate,>7yr,existing_paid,repairs,own,4,1
54,36,1130,rich,<1yr,existing_paid,car,rent,2,1
55,48,9353,none,4-7yr,existing_paid,repairs,own,2,1
36,48,12195,moderate,unemployed,existing_paid,furniture,own,3,0
25,6,3352,moderate,<1yr,existing_paid,business,free,1,1
65,12,11158,little,1-4yr,existing_paid,furniture,free,4,1
62,6,1487,little,1-4yr,critical,business,rent,1,0
18,24,8122,none,4-7yr,delayed,business,own,4,0
39,60,7827,moderate,>7yr,existing_paid,repairs,rent,2,1
69,18,10238,moderate,4-7yr,critical,furniture,own,3,1
34,12,9341,none,>7yr,existing_paid,furniture,own,2,1
24,6,9660,moderate,>7yr,existing_paid,car,rent,2,1
42,36,11329,little,4-7yr,delayed,furniture,rent,2,0
62,12,1600,none,>7yr,existing_paid,car,own,1,1
21,60,7152,rich,4-7yr,existing_paid,education,rent,2,1
53,12,9132,rich,<1yr,existing_paid,education,own,2,1
23,60,7921,moderate,4-7yr,paid,education,own,3,1
48,6,5516,none,<1yr,critical,other,own,2,0
36,60,1269,quite_rich,4-7yr,existing_paid,furniture,rent,1,1
61,12,1843,little,4-7yr,existing_paid,other,own,1,1
71,36,14614,little,<1yr,paid,furniture,rent,2,0
56,48,4858,little,1-4yr,delayed,car,own,1,0
44,12,12421,moderate,>7yr,existing_paid,other,rent,1,1
27,60,12598,moderate,4-7yr,critical,other,own,3,1
43,48,10269,little,1-4yr,existing_paid,other,rent,2,0
36,60,7280,moderate,4-7yr,existing_paid,business,own,2,1
56,36,12700,rich,4-7yr,existing_paid,car,rent,1,1
20,60,7102,little,1-4yr,existing_paid,education,rent,2,0
62,6,13786,moderate,>7yr,existing_paid,car,rent,1,1
30,18,12043,quite_rich,4-7yr,existing_paid,business,own,2,1
67,12,13487,little,1-4yr,critical,furniture,rent,1,0
45,18,2849,little,>7yr,paid,car,own,3,1
37,60,12294,moderate,>7yr,delayed,other,rent,2,1
45,36,6199,moderate,<1yr,existing_paid,education,rent,2,0
25,12,1741,quite_rich,1-4yr,existing_paid,education,own,2,1
58,60,1625,little,1-4yr,existing_paid,furniture,own,2,1
56,48,11293,rich,4-7yr,critical,car,own,1,0
18,24,9882,none,4-7yr,existing_paid,business,free,3,0
20,60,7264,none,4-7yr,existing_paid,furniture,free,1,0
30,18,5601,moderate,>7yr,existing_paid,car,own,4,1
45,12,12823,little,4-7yr,existing_paid,repairs,own,3,1
74,18,13531,little,<1yr,existing_paid,education,own,1,0
66,12,14552,little,1-4yr,existing_paid,business,own,3,1
42,60,13140,little,1-4yr,paid,other,own,1,0
73,6,8343,none,1-4yr,no_credits,business,rent,1,0
50,48,14710,rich,4-7yr,critical,other,own,4,1
55,60,572,little,>7yr,existing_paid,business,rent,2,0
70,18,5972,moderate,1-4yr,existing_paid,education,free,2,1
23,24,10606,quite_rich,4-7yr,existing_paid,other,own,1,1
61,24,5689,rich,4-7yr,delayed,car,rent,1,0
62,36,2972,none,1-4yr,existing_paid,other,own,4,0
49,12,11738,quite_rich,<1yr,existing_paid,furniture,own,1,1
62,18,1207,moderate,1-4yr,existing_paid,car,own,1,1
64,36,2304,moderate,<1yr,existing_paid,furniture,own,2,1
38,18,7204,moderate,>7yr,existing_paid,business,own,2,1
33,12,4213,quite_rich,<1yr,delayed,car,own,2,1
71,60,5551,little,1-4yr,critical,business,own,1,0
38,60,11256,moderate,1-4yr,existing_paid,repairs,own,1,1
28,24,2975,moderate,>7yr,existing_paid,business,own,1,1
54,60,4110,quite_rich,<1yr,existing_paid,business,own,4,1
53,60,4755,rich,<1yr,existing_paid,furniture,own,1,1
52,6,14984,little,unemployed,existing_paid,other,own,3,1
36,24,11515,rich,<1yr,existing_paid,repairs,rent,3,0
37,36,7897,none,1-4yr,critical,business,own,3,0
74,48,2235,none,4-7yr,existing_paid,business,free,3,0
35,6,10277,none,1-4yr,existing_paid,repairs,own,1,1
64,36,8758,little,unemployed,existing_paid,repairs,rent,1,0
58,12,11753,moderate,>7yr,existing_paid,car,own,2,1
66,6,8479,none,1-4yr,paid,furniture,rent,1,1
31,36,2928,none,1-4yr,critical,repairs,free,2,0
32,12,12845,rich,1-4yr,existing_paid,repairs,own,2,1
48,24,7926,quite_rich,>7yr,critical,education,rent,3,0
18,48,9033,quite_rich,<1yr,critical,other,own,1,0
70,12,5749,quite_rich,>7yr,critical,repairs,own,4,1
71,60,11466,moderate,4-7yr,existing_paid,furniture,rent,1,1
71,18,5791,none,<1yr,no_credits,other,rent,2,0
20,12,3317,little,>7yr,existing_paid,other,own,2,1
33,12,11353,moderate,1-4yr,existing_paid,business,own,3,1
40,48,9924,little,<1yr,existing_paid,business,rent,2,0
74,18,4374,moderate,>7yr,critical,business,rent,4,1
28,60,11093,none,4-7yr,existing_paid,business,rent,4,0
29,36,10186,little,4-7yr,existing_paid,education,rent,3,0
27,36,14609,moderate,<1yr,existing_paid,repairs,own,1,0
49,12,4711,moderate,1-4yr,existing_paid,business,rent,3,1
33,18,1161,moderate,4-7yr,existing_paid,car,own,3,1
25,18,12575,moderate,1-4yr,delayed,business,own,1,0
55,60,14253,none,1-4yr,delayed,repairs,own,1,0
29,48,12311,none,unemployed,critical,business,free,1,0
41,24,10560,quite_rich,<1yr,critical,education,own,1,0
45,36,11026,moderate,>7yr,critical,furniture,rent,2,0
70,48,3874,none,1-4yr,no_credits,furniture,own,4,0
25,6,9708,quite_rich,>7yr,critical,repairs,own,2,1
45,36,13098,little,1-4yr,existing_paid,furniture,rent,2,0
53,48,707,little,4-7yr,existing_paid,furniture,own,4,1
43,36,3165,none,1-4yr,delayed,car,own,1,0
25,24,2993,moderate,1-4yr,existing_paid,repairs,own,3,1
67,6,7313,moderate,<1yr,paid,repairs,rent,2,1
45,24,1132,little,1-4yr,existing_paid,furniture,own,2,1
45,60,10794,quite_rich,1-4yr,no_credits,furniture,own,1,0
54,6,11651,little,>7yr,critical,furniture,own,2,1
58,12,3583,little,4-7yr,no_credits,other,own,1,1
53,48,13444,none,<1yr,existing_paid,education,own,3,0
44,6,14211,little,unemployed,existing_paid,business,own,1,1
71,60,10623,none,<1yr,existing_paid,education,own,3,0
34,60,4219,moderate,4-7yr,critical,repairs,rent,1,1
26,24,7623,quite_rich,4-7yr,paid,car,own,1,1
50,36,11254,moderate,>7yr,existing_paid,business,own,2,1
70,6,2179,little,unemployed,delayed,car,own,1,1
37,48,736,none,1-4yr,critical,other,own,3,0
30,6,7946,little,1-4yr,delayed,repairs,rent,4,0
45,18,4943,little,4-7yr,critical,other,own,3,1
65,36,7270,quite_rich,4-7yr,paid,repairs,own,1,1
46,48,13417,none,4-7yr,existing_paid,car,rent,2,1
30,48,10232,moderate,4-7yr,existing_paid,car,own,2,1
63,12,6599,quite_rich,<1yr,critical,car,own,3,0
52,24,12635,little,4-7yr,existing_paid,repairs,own,1,0
23,12,14059,quite_rich,<1yr,existing_paid,furniture,own,2,0
35,48,9055,moderate,4-7yr,existing_paid,car,own,2,1
68,36,2868,moderate,1-4yr,paid,other,own,1,0
22,6,785,moderate,1-4yr,existing_paid,business,free,1,1
64,6,648,little,>7yr,critical,repairs,rent,2,1
42,36,13895,little,>7yr,existing_paid,other,own,3,1
19,48,4537,little,>7yr,delayed,education,own,4,0
27,60,7049,little,1-4yr,critical,education,own,2,0
73,6,7621,moderate,4-7yr,existing_paid,business,own,1,1
47,60,13243,none,1-4yr,existing_paid,furniture,own,1,0
67,6,10458,rich,>7yr,existing_paid,car,rent,4,1
62,6,5395,moderate,1-4yr,existing_paid,repairs,rent,4,1
22,24,5780,little,>7yr,delayed,other,rent,4,0
72,24,1512,none,>7yr,existing_paid,car,rent,3,1
73,18,11523,quite_rich,4-7yr,no_credits,other,own,1,1
50,12,11199,quite_rich,1-4yr,existing_paid,repairs,own,3,1
71,36,10215,moderate,<1yr,critical,education,own,2,0
18,36,3285,little,>7yr,critical,car,own,1,0
35,36,11248,little,<1yr,critical,business,rent,2,0
49,18,4225,none,>7yr,critical,furniture,own,1,1
64,24,5076,none,1-4yr,existing_paid,business,rent,1,0
66,48,6282,quite_rich,1-4yr,critical,furniture,own,2,0
28,60,6757,moderate,>7yr,existing_paid,other,rent,2,0
38,60,10293,moderate,4-7yr,delayed,car,rent,3,0
43,48,2908,quite_rich,4-7yr,delayed,car,rent,1,0
42,18,840,moderate,4-7yr,no_credits,furniture,rent,1,1
39,48,3317,little,1-4yr,critical,education,own,1,0
44,36,14798,little,4-7yr,critical,repairs,rent,1,0
66,12,2996,rich,1-4yr,existing_paid,business,rent,1,1
30,6,6462,none,>7yr,critical,other,rent,2,0
50,60,13622,rich,>7yr,paid,business,free,2,1
51,24,5799,quite_rich,1-4yr,existing_paid,business,free,3,0
58,24,10417,none,4-7yr,existing_paid,other,rent,4,0
52,18,8074,moderate,4-7yr,existing_paid,other,own,2,1
18,24,2189,quite_rich,1-4yr,critical,car,rent,1,0
38,36,3767,moderate,>7yr,critical,business,own,1,1
65,60,4906,rich,unemployed,critical,repairs,own,3,0
72,48,8953,rich,1-4yr,existing_paid,repairs,own,2,0
23,36,1942,little,1-4yr,critical,furniture,own,3,0
45,18,9097,little,1-4yr,existing_paid,other,own,3,0
34,36,10882,rich,4-7yr,critical,car,own,4,0
22,48,4937,moderate,4-7yr,existing_paid,repairs,own,4,1
48,12,5935,none,4-7yr,paid,education,own,2,1
22,18,8935,none,4-7yr,delayed,car,own,1,1
55,12,13277,moderate,<1yr,existing_paid,car,rent,4,1
20,6,4607,rich,1-4yr,existing_paid,repairs,rent,2,1
70,12,1060,quite_rich,1-4yr,existing_paid,education,rent,1,1
40,6,12829,moderate,1-4yr,paid,furniture,rent,2,1
54,6,11417,none,4-7yr,existing_paid,repairs,rent,2,1
70,12,9285,little,<1yr,no_credits,education,own,3,0
54,18,6048,quite_rich,1-4yr,existing_paid,car,rent,2,1
27,48,2326,none,1-4yr,paid,education,rent,1,0
27,36,11921,little,>7yr,delayed,car,own,4,0
36,36,11979,none,>7yr,existing_paid,repairs,own,3,1
34,48,12765,moderate,4-7yr,critical,other,rent,2,0
38,60,14481,rich,>7yr,critical,repairs,own,1,1
31,60,8129,little,4-7yr,existing_paid,business,free,1,0
26,6,8825,little,4-7yr,critical,business,own,2,0
63,6,3638,moderate,unemployed,critical,business,free,1,1
18,18,12611,rich,4-7yr,critical,repairs,own,1,0
68,24,13735,none,4-7yr,existing_paid,furniture,own,2,1
62,12,8193,little,4-7yr,paid,repairs,own,2,1
30,6,8764,little,4-7yr,delayed,other,free,2,0
21,36,13186,quite_rich,1-4yr,delayed,education,rent,1,0
18,18,14216,little,4-7yr,delayed,repairs,rent,2,0
66,12,8342,none,>7yr,existing_paid,repairs,own,3,1
57,18,7221,moderate,1-4yr,critical,car,rent,1,0
49,12,7502,quite_rich,4-7yr,critical,car,own,1,1
51,12,4725,none,1-4yr,existing_paid,car,own,2,1
45,48,3478,quite_rich,4-7yr,paid,repairs,own,4,1
48,6,7873,none,4-7yr,existing_paid,furniture,free,2,0
25,18,6407,moderate,unemployed,critical,education,own,1,0
56,18,6597,little,4-7yr,delayed,education,own,1,1
